millis,alt,vel,acc,raw_alt,raw_acc,lat,lon,apogee,temp,batt_v,phase
2443781,0.22208574414253235,-0.002111888024955988,-0.030783409252762794,0.1746826171875,-0.027159690856933594,32.93928146362305,-106.91136932373047,0.0,55.67,8.315,Idle
2444181,0.23316557705402374,-0.0006824508309364319,-0.01264948956668377,-0.1474609375,-0.0018243789672851562,32.93927764892578,-106.91136932373047,0.0,55.66,8.277,Idle
2444781,-0.2286156713962555,-0.28799811005592346,-0.05503225699067116,-0.63232421875,0.010064125061035156,32.93927764892578,-106.91136932373047,0.0,55.67,8.274,Idle
2445181,-0.525831937789917,-0.4148801267147064,-0.05414620414376259,-0.708251953125,0.01811981201171875,32.93927764892578,-106.91136932373047,0.0,55.67,8.306,Idle
2445381,-0.6823297739028931,-0.468167245388031,-0.04728207737207413,-0.873291015625,-0.005107879638671875,32.93927764892578,-106.91136932373047,0.0,55.67,8.306,Idle
2445581,-0.8274786472320557,-0.5075421929359436,-0.042724013328552246,-0.8968505859375,0.012546539306640625,32.93927764892578,-106.91136932373047,0.0,55.67,8.249,Idle
2446381,-0.7215265035629272,-0.21340422332286835,0.04159802198410034,-0.5489501953125,0.0236968994140625,32.93927764892578,-106.91136932373047,0.0,55.67,8.28,Idle
2446781,-0.5076934099197388,-0.011526286602020264,0.06867597252130508,0.0928955078125,0.023529052734375,32.93927764892578,-106.91136932373047,0.0,55.67,8.287,Idle
2446981,-0.3700881898403168,0.09250481426715851,0.07920559495687485,0.0106201171875,-0.0026035308837890625,32.93927764892578,-106.91136932373047,0.0,55.66,8.28,Idle
2447381,-0.057369306683540344,0.2812168002128601,0.07790723443031311,0.1951904296875,-0.021867752075195312,32.93927764892578,-106.91136932373047,0.0,55.67,8.299,Idle
2447581,0.08658129721879959,0.3491019010543823,0.07584785670042038,0.1710205078125,0.03555583953857422,32.93927764892578,-106.91136932373047,0.0,55.66,8.296,Idle
2447781,0.24865815043449402,0.4149196147918701,0.060040827840566635,0.494384765625,-0.01868724822998047,32.93927764892578,-106.91136932373047,0.0,55.66,8.287,Idle
2448581,0.6822431683540344,0.49074655771255493,0.03735990822315216,0.7100830078125,0.008436203002929688,32.939273834228516,-106.91136932373047,0.0,55.66,8.287,Idle
2448781,0.7764410376548767,0.49025383591651917,0.024296864867210388,0.5615234375,-0.014041900634765625,32.939273834228516,-106.91136932373047,0.0,55.66,8.283,Idle
2448981,0.8453204035758972,0.46850886940956116,0.002321171574294567,0.67822265625,-0.02532672882080078,32.939273834228516,-106.91136932373047,0.0,55.66,8.277,Idle
2449181,0.8041265606880188,0.37586742639541626,-0.02195941098034382,0.2900390625,0.007742881774902344,32.939273834228516,-106.91136932373047,0.0,55.67,8.299,Idle
2449381,0.6976185441017151,0.24760812520980835,-0.05141941085457802,0.078369140625,0.0030527114868164062,32.939273834228516,-106.91136932373047,0.0,55.67,8.287,Idle
2449581,0.5871729850769043,0.12841841578483582,-0.07903778553009033,0.3089599609375,-0.006531715393066406,32.939273834228516,-106.91136932373047,0.0,55.67,8.249,Idle
2449781,0.46391522884368896,0.019996054470539093,-0.08173012733459473,-0.0780029296875,-0.03164863586425781,32.939273834228516,-106.91136932373047,0.0,55.67,8.274,Idle
2449981,0.33960700035095215,-0.07434748113155365,-0.07891105115413666,0.09228515625,0.04452037811279297,32.93927764892578,-106.91136932373047,0.0,55.67,8.277,Idle
2450181,0.21532154083251953,-0.15651991963386536,-0.0776919424533844,-0.070556640625,-0.030623435974121094,32.939273834228516,-106.91136932373047,0.0,55.67,8.312,Idle
2450381,0.11454837769269943,-0.2083968073129654,-0.06098832190036774,-0.051025390625,0.03215980529785156,32.93927764892578,-106.91136932373047,0.0,55.67,8.277,Idle
2450581,-0.024661153554916382,-0.2816067337989807,-0.062142107635736465,-0.3817138671875,0.02194690704345703,32.93927764892578,-106.91136932373047,0.0,55.68,8.28,Idle
2450781,-0.1432996243238449,-0.33150357007980347,-0.05935876816511154,-0.292236328125,0.02090740203857422,32.93927764892578,-106.91136932373047,0.0,55.67,8.315,Idle
2450981,-0.1677848994731903,-0.2998501658439636,-0.014931561425328255,0.1368408203125,0.04580211639404297,32.93927764892578,-106.91136932373047,0.0,55.67,8.29,Idle
2451181,-0.17056278884410858,-0.2619858682155609,-0.0008410905720666051,-0.117919921875,-0.03089427947998047,32.93927764892578,-106.91136932373047,0.0,55.68,8.283,Idle
2451381,-0.2398945540189743,-0.27170729637145996,0.001022309297695756,-0.2685546875,-0.010509490966796875,32.93927764892578,-106.91136932373047,0.0,55.68,8.28,Idle
2451581,-0.2689785063266754,-0.25661271810531616,-0.0026022326201200485,-0.1329345703125,-0.05843162536621094,32.93927764892578,-106.91136932373047,0.0,55.67,8.296,Idle
2451781,-0.26991134881973267,-0.22398731112480164,0.002248454838991165,-0.0074462890625,0.0055866241455078125,32.93927764892578,-106.91136932373047,0.0,55.67,8.28,Idle
2452181,-0.1907687783241272,-0.11230021715164185,0.02772856131196022,0.13623046875,-0.03482818603515625,32.93927764892578,-106.91136932373047,0.0,55.67,8.283,Idle
2452381,-0.09487341344356537,-0.026448410004377365,0.04894565790891647,0.159912109375,0.06549930572509766,32.93927764892578,-106.91136932373047,0.0,55.67,8.287,Idle
2452581,-0.0958433598279953,-0.022932294756174088,0.02649182826280594,-0.1138916015625,-0.01848125457763672,32.93927764892578,-106.91136932373047,0.0,55.67,8.287,Idle
2452781,-0.18814966082572937,-0.08589614927768707,-0.010208423249423504,-0.33447265625,-0.018631935119628906,32.93927764892578,-106.91136932373047,0.0,55.67,8.302,Idle
